company,country,director,genre,name,rating,star,writer,released,budget,gross,runtime,score,votes,year
Columbia Pictures Corporation,USA,Rob Reiner,Adventure,Stand by Me,R,Wil Wheaton,Stephen King,22/08/1986,8000000,52287414,89,8.1,299174,1986
Paramount Pictures,USA,John Hughes,Comedy,Ferris Bueller's Day Off,PG-13,Matthew Broderick,John Hughes,11/06/1986,6000000,70136369,103,7.8,264740,1986
Paramount Pictures,USA,Tony Scott,Action,Top Gun,PG,Tom Cruise,Jim Cash,16/05/1986,15000000,179800601,110,6.9,236909,1986
Twentieth Century Fox Film Corporation,USA,James Cameron,Action,Aliens,R,Sigourney Weaver,James Cameron,18/07/1986,18500000,85160248,137,8.4,540152,1986
Walt Disney Pictures,USA,Randal Kleiser,Adventure,Flight of the Navigator,PG,Joey Cramer,Mark H. Baker,01/08/1986,9000000,18564613,90,6.9,36636,1986
Hemdale,UK,Oliver Stone,Drama,Platoon,R,Charlie Sheen,Oliver Stone,06/02/1987,6000000,138530565,120,8.1,317585,1986
Henson Associates (HA),UK,Jim Henson,Adventure,Labyrinth,PG,David Bowie,Dennis Lee,27/06/1986,25000000,12729917,101,7.4,102879,1986
De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,Blue Velvet,R,Isabella Rossellini,David Lynch,23/10/1986,6000000,8551228,120,7.8,146768,1986
Paramount Pictures,USA,Howard Deutch,Comedy,Pretty in Pink,PG-13,Molly Ringwald,John Hughes,28/02/1986,9000000,40471663,96,6.8,60565,1986
SLM Production Group,USA,David Cronenberg,Drama,The Fly,R,Jeff Goldblum,George Langelaan,15/08/1986,15000000,40456565,96,7.5,129698,1986
Rimfire Films,Australia,Peter Faiman,Adventure,Crocodile Dundee,PG-13,Paul Hogan,Ken Shadie,26/09/1986,8800000,174635000,97,6.5,79465,1986
Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,Highlander,R,Christopher Lambert,Gregory Widen,07/03/1986,16000000,5900000,116,7.2,104860,1986
Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,Lucas,PG-13,Corey Haim,David Seltzer,28/03/1986,6000000,8200000,100,6.8,12228,1986
Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,Big Trouble in Little China,PG-13,Kurt Russell,Gary Goldman,02/07/1986,25000000,11100000,99,7.3,101678,1986
De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,Manhunter,R,William Petersen,Thomas Harris,15/08/1986,15000000,8620929,120,7.2,54000,1986
Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,9½ Weeks,R,Mickey Rourke,Elizabeth McNeill,21/02/1986,17000000,6734844,117,5.9,31798,1986
De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,Maximum Overdrive,R,Emilio Estevez,Stephen King,25/07/1986,10000000,7433663,98,5.4,24881,1986
"Geffen Company, The",USA,Frank Oz,Comedy,Little Shop of Horrors,PG-13,Rick Moranis,Howard Ashman,19/12/1986,25000000,38747385,94,6.9,53327,1986
New Century Entertainment Corporation,USA,Mike Marvin,Action,The Wraith,PG-13,Charlie Sheen,Mike Marvin,21/11/1986,2700000,3500000,93,5.9,11635,1986
Universal Pictures,USA,Willard Huyck,Action,Howard the Duck,PG,Lea Thompson,Steve Gerber,01/08/1986,35000000,16295774,110,4.6,36020,1986
New Line Cinema,USA,Stephen Herek,Action,Critters,PG-13,Dee Wallace,Domonic Muir,11/04/1986,2000000,13167232,82,6,25517,1986
Orion Pictures,USA,Alan Metter,Comedy,Back to School,PG-13,Rodney Dangerfield,Rodney Dangerfield,13/06/1986,11000000,91258000,96,6.6,23120,1986
Cannon Films,USA,Tobe Hooper,Comedy,The Texas Chainsaw Massacre 2,NOT RATED,Dennis Hopper,L.M. Kit Carson,22/08/1986,4700000,8025872,89,5.6,21253,1986
Jay Weston Productions,USA,Clint Eastwood,Action,Heartbreak Ridge,R,Clint Eastwood,James Carabatsos,05/12/1986,15000000,42724017,130,6.8,32954,1986
Paramount Pictures,USA,Leonard Nimoy,Adventure,Star Trek IV: The Voyage Home,PG,William Shatner,Gene Roddenberry,26/11/1986,25000000,109713132,119,7.3,66366,1986
TriStar Pictures,USA,John Badham,Comedy,Short Circuit,PG,Ally Sheedy,S.S. Wilson,09/05/1986,0,40697761,98,6.6,47068,1986
Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,The Name of the Rose,R,Sean Connery,Umberto Eco,24/09/1986,0,7153487,130,7.8,86991,1986
TriStar Pictures,USA,Sidney J. Furie,Action,Iron Eagle,PG-13,Louis Gossett Jr.,Kevin Alyn Elders,17/01/1986,0,24159872,117,5.3,11304,1986
Paramount Pictures,USA,Michael Ritchie,Action,The Golden Child,PG-13,Eddie Murphy,Dennis Feldman,12/12/1986,25000000,79817937,94,5.9,42997,1986
Hemdale,USA,Tim Hunter,Crime,River's Edge,R,Crispin Glover,Neal Jimenez,08/05/1987,1900000,4600000,99,7.1,12862,1986
L.A. Films,USA,John Landis,Comedy,¡Three Amigos!,PG,Steve Martin,Steve Martin,12/12/1986,25000000,39246734,104,6.4,57406,1986
Warner Bros.,USA,George P. Cosmatos,Action,Cobra,R,Sylvester Stallone,Paula Gosling,23/05/1986,25000000,49042224,87,5.7,54851,1986
Gaumont,France,Jean-Jacques Beineix,Drama,Betty Blue,NOT RATED,Jean-Hugues Anglade,Philippe Djian,07/11/1986,0,2003822,120,7.4,14562,1986
Warner Bros.,UK,Roland Joffé,Adventure,The Mission,PG,Robert De Niro,Robert Bolt,31/10/1986,24500000,17218023,125,7.5,47497,1986
Touchstone Pictures,USA,Martin Scorsese,Drama,The Color of Money,R,Paul Newman,Walter Tevis,17/10/1986,13800000,52293982,119,7,62495,1986
Columbia Pictures Corporation,USA,John G. Avildsen,Action,The Karate Kid Part II,PG,Pat Morita,Robert Mark Kamen,20/06/1986,0,115103979,113,5.9,58370,1986
Lorimar Productions,USA,Nick Castle,Drama,The Boy Who Could Fly,PG,Lucy Deakins,Nick Castle,26/09/1986,0,7177431,114,6.5,4623,1986
HBO Films,USA,Robert Harmon,Thriller,The Hitcher,R,Rutger Hauer,Eric Red,21/02/1986,6000000,5844868,97,7.3,36191,1986
Amblin Entertainment,USA,Richard Benjamin,Comedy,The Money Pit,PG,Tom Hanks,David Giler,26/03/1986,10000000,37499651,91,6.3,41278,1986
Paramount Pictures,USA,Tom McLoughlin,Horror,Jason Lives: Friday the 13th Part VI,R,Thom Mathews,Tom McLoughlin,01/08/1986,3000000,19472057,86,5.9,28310,1986
The Saul Zaentz Company,USA,Peter Weir,Adventure,The Mosquito Coast,PG,Harrison Ford,Paul Theroux,26/11/1986,25000000,14302779,117,6.6,23076,1986
Universal Pictures,USA,Don Bluth,Animation,An American Tail,G,Dom DeLuise,Judy Freudberg,21/11/1986,0,47483002,80,6.9,41004,1986
Initial Pictures,UK,Alex Cox,Biography,Sid and Nancy,R,Gary Oldman,Alex Cox,07/11/1986,4000000,2826523,112,7.1,25032,1986
De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,King Kong Lives,PG-13,Brian Kerwin,Ronald Shusett,19/12/1986,10000000,4711220,105,3.8,4401,1986
Empire Pictures,USA,Stuart Gordon,Horror,From Beyond,R,Jeffrey Combs,H.P. Lovecraft,24/10/1986,4500000,1261000,86,6.7,16636,1986
TriStar Pictures,USA,Francis Ford Coppola,Comedy,Peggy Sue Got Married,PG-13,Kathleen Turner,Jerry Leichtling,10/10/1986,18000000,41382841,103,6.3,28529,1986
Freddie Fields Productions,USA,Brian Gibson,Horror,Poltergeist II: The Other Side,PG-13,JoBeth Williams,Mark Victor,23/05/1986,19000000,40996665,91,5.7,20669,1986
Empire Pictures,USA,John Carl Buechler,Comedy,Troll,PG-13,Michael Moriarty,Ed Naha,17/01/1986,1100000,5450815,82,4.3,7569,1986
Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,Running Scared,R,Gregory Hines,Gary DeVore,27/06/1986,0,38500726,107,6.5,9344,1986
Hawn / Sylbert Movie Company,USA,Michael Ritchie,Comedy,Wildcats,R,Goldie Hawn,Ezra Sacks,14/02/1986,0,26285544,106,5.9,10239,1986
Maljack Productions,USA,John McNaughton,Biography,Henry: Portrait of a Serial Killer,NOT RATED,Michael Rooker,Richard Fire,07/09/1990,111000,609939,83,7,25367,1986
ABC Motion Pictures,USA,Harry Winer,Adventure,SpaceCamp,PG,Kate Capshaw,Clifford Green,06/06/1986,18000000,9697739,107,5.6,11484,1986
Orion Pictures,USA,Woody Allen,Comedy,Hannah and Her Sisters,PG-13,Mia Farrow,Woody Allen,14/03/1986,6400000,40084041,107,8,56988,1986
Walt Disney Pictures,USA,Ron Clements,Animation,The Great Mouse Detective,G,Vincent Price,Peter Young,02/07/1986,14000000,38600000,74,7.2,36539,1986
