name,company,country,director,genre,rating,star,writer,released,budget,gross,runtime,score,votes,year
Leap!,Quad Productions,France,Eric Summer,Animation,PG,Elle Fanning,Eric Summer,25/08/2017,30000000,12760985,89,6.8,9517,2017
Resident Evil: The Final Chapter,Constantin Film,UK,Paul W.S. Anderson,Action,R,Milla Jovovich,Paul W.S. Anderson,27/01/2017,40000000,26830068,107,5.6,58140,2017
Día del atentado,Bluegrass Films,Hong Kong,Peter Berg,Crime,R,Mark Wahlberg,Peter Berg,13/01/2017,45000000,31886361,133,7.4,51563,2017
Hidden Figures,Levantine Films,USA,Theodore Melfi,Biography,PG,Taraji P. Henson,Allison Schroeder,06/01/2017,25000000,169380936,127,7.8,121818,2017
Assassin's Creed,Regency Enterprises,USA,Justin Kurzel,Action,PG-13,Michael Fassbender,Michael Lesslie,21/12/2016,125000000,54645723,115,5.9,133338,2016
Sing,Dentsu,USA,Garth Jennings,Animation,PG,Matthew McConaughey,Garth Jennings,21/12/2016,75000000,270329045,108,7.1,81466,2016
Rogue One,Lucasfilm,USA,Gareth Edwards,Action,PG-13,Felicity Jones,Chris Weitz,16/12/2016,200000000,532177324,133,7.9,365473,2016
Manchester by the Sea,Amazon Studios,USA,Kenneth Lonergan,Drama,R,Casey Affleck,Kenneth Lonergan,16/12/2016,8500000,47695120,137,7.9,159673,2016
Jackie,Fox Searchlight Pictures,Chile,Pablo Larraín,Biography,R,Natalie Portman,Noah Oppenheim,02/12/2016,9000000,13958679,100,6.8,50652,2016
Moana,Walt Disney Animation Studios,USA,Ron Clements,Animation,PG,Auli'i Cravalho,Jared Bush,23/11/2016,150000000,248757044,107,7.6,157290,2016
Fantastic Beasts and Where to Find Them,Heyday Films,UK,David Yates,Adventure,PG-13,Eddie Redmayne,J.K. Rowling,18/11/2016,180000000,234037575,133,7.4,268073,2016
Doctor Strange,Marvel Studios,USA,Scott Derrickson,Action,PG-13,Benedict Cumberbatch,Jon Spaihts,04/11/2016,165000000,232641920,115,7.5,348307,2016
Ouija: Origin of Evil,Allspark Pictures,USA,Mike Flanagan,Horror,PG-13,Elizabeth Reaser,Mike Flanagan,21/10/2016,9000000,34904885,99,6.1,35690,2016
Miss Peregrine's Home for Peculiar Children,Twentieth Century Fox Film Corporation,UK,Tim Burton,Adventure,PG-13,Eva Green,Ransom Riggs,30/09/2016,110000000,87242834,127,6.7,116495,2016
Snowden,Endgame Entertainment,France,Oliver Stone,Biography,R,Joseph Gordon-Levitt,Kieran Fitzgerald,16/09/2016,40000000,21587519,134,7.3,92094,2016
La bruja de Blair,Lionsgate,Canada,Adam Wingard,Horror,R,James Allen McCune,Simon Barrett,16/09/2016,5000000,20747013,89,5,29715,2016
Sully,Flashlight Films,USA,Clint Eastwood,Biography,PG-13,Tom Hanks,Todd Komarnicki,09/09/2016,60000000,125070033,96,7.5,157212,2016
Mi papá es un gato,EuropaCorp,France,Barry Sonnenfeld,Comedy,PG,Kevin Spacey,Gwyn Lurie,05/08/2016,30000000,19637449,87,5.3,14360,2016
Bad Moms,STX Entertainment,USA,Jon Lucas,Comedy,R,Mila Kunis,Jon Lucas,29/07/2016,20000000,113257297,100,6.2,76251,2016
La vida secreta de tus mascotas,Universal Pictures,Japan,Chris Renaud,Animation,PG,Louis C.K.,Cinco Paul,08/07/2016,75000000,368384330,87,6.6,133755,2016
The Conjuring 2,New Line Cinema,Canada,James Wan,Horror,R,Vera Farmiga,Carey Hayes,10/06/2016,40000000,102470008,134,7.4,151427,2016
Me Before You,Metro-Goldwyn-Mayer (MGM),UK,Thea Sharrock,Drama,PG-13,Emilia Clarke,Jojo Moyes,03/06/2016,20000000,56245075,106,7.4,127889,2016
Neighbors 2: Sorority Rising,Good Universe,USA,Nicholas Stoller,Comedy,R,Seth Rogen,Andrew Jay Cohen,20/05/2016,35000000,55291815,92,5.7,83340,2016
Revenant: El Renacido,Regency Enterprises,Hong Kong,Alejandro González Iñárritu,Adventure,R,Leonardo DiCaprio,Mark L. Smith,08/01/2016,135000000,183637894,156,8,522384,2016
Daddy's Home,Paramount Pictures,USA,Sean Anders,Comedy,PG-13,Will Ferrell,Brian Burns,25/12/2015,50000000,150357137,96,6.1,72842,2015
Spotlight,Participant Media,USA,Tom McCarthy,Crime,R,Mark Ruffalo,Josh Singer,20/11/2015,20000000,45055776,128,8.1,287421,2015
Paranormal Activity: The Ghost Dimension,Blumhouse Productions,USA,Gregory Plotkin,Horror,R,Chris J. Murray,Jason Pagan,23/10/2015,10000000,18300124,88,4.6,19280,2015
The Martian,Twentieth Century Fox Film Corporation,UK,Ridley Scott,Adventure,PG-13,Matt Damon,Drew Goddard,02/10/2015,108000000,228433663,144,8,579946,2015
Escobar,Chapter 2,France,Andrea Di Stefano,Crime,R,Benicio Del Toro,Andrea Di Stefano,26/06/2015,17000000,106869,120,6.6,16839,2015
Crimenes ocultos,Worldview Entertainment,Czech Republic,Daniel Espinosa,Crime,R,Tom Hardy,Richard Price,24/04/2015,50000000,1206135,137,6.5,50379,2015
Still Alice,Lutzus-Brown,USA,Richard Glatzer,Drama,PG-13,Julianne Moore,Richard Glatzer,20/02/2015,5000000,18754371,101,7.5,101773,2015
Whiplash,Bold Films,USA,Damien Chazelle,Drama,R,Miles Teller,Damien Chazelle,23/01/2015,3300000,13092000,107,8.5,503754,2015
The Invasion,Warner Bros.,USA,Oliver Hirschbiegel,Sci-Fi,PG-13,Nicole Kidman,David Kajganich,17/08/2007,80000000,15071514,99,5.9,67939,2007
The Butterfly Effect,BenderSpink,USA,Eric Bress,Sci-Fi,R,Ashton Kutcher,J. Mackye Gruber,23/01/2004,13000000,57938693,113,7.7,387284,2004
The Arrival,Live Entertainment,USA,David Twohy,Sci-Fi,PG-13,Charlie Sheen,David Twohy,31/05/1996,25000000,14048372,115,6.3,27641,1996
The Manhattan Project,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,PG-13,John Lithgow,Marshall Brickman,13/06/1986,18000000,3900000,117,6.1,4666,1986
